"family","order","class","final_diet","feed_mode","source","notes","zoophagous","phytophagous","detritophagous","mycetophagous","saprophagous","coprophagous","phyllophagous","saproxylic","sap.sucking","stem","flower","seed","gall.inducing","miners","roots","not.specified","predator","parasitoid","micropredator","parasite","necrophorous","not.specified.1","n","c","c-(h)","c-d","c-d-h","c-f","c-h","d","d-f","d-h","f","f-h","h","h-(c)","diet.cat","diet.cat2"
"Chrysomelidae","Coleoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.8","0","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","1","0","phytophagous-multiple/other","Phytophagous"
"Cleridae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Coccinellidae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","26","1","0","0","0","1","0","0","0","0","1","0","1","0","zoophagous-predator","Predator"
"Corylophidae","Coleoptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.2","0.8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","multiple categories","Mulitple categories"
"Curculionidae","Coleoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0.4","0.1","0","0.1","0.1","0.1","0","0","0.2","0","0","0","0","0","0","0","119","0","0","0","0","0","0","1","0","1","0","0","1","0","phytophagous-multiple/other","Phytophagous"
"Dytiscidae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Elateridae","Coleoptera","Insecta","mixed","mixed","Horren",NA,"0.5","0.5","0","0","0","0","0","0.7","0","0","0","0","0","0","0.3","0","1","0","0","0","0","0","27","1","0","0","0","0","1","1","0","1","0","0","1","0","multiple categories","Mulitple categories"
"Endomychidae","Coleoptera","Insecta","mycetophagous","NA","Horren",NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mycetophagous","Mycetophagous"
"Erotylidae","Coleoptera","Insecta","mycetophagous","NA","Horren",NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mycetophagous","Mycetophagous"
"Hydrophilidae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","20","0","0","0","0","0","0","1","1","1","0","0","0","0","zoophagous-predator","Predator"
"Laemophloeidae","Coleoptera","Insecta","phytophagous","mixed","Horren",NA,"0","1","0","0","0","0","0","0.8","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-multiple/other","Phytophagous"
"Latridiidae","Coleoptera","Insecta","mycetophagous","NA","Horren",NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","mycetophagous","Mycetophagous"
"Melandryidae","Coleoptera","Insecta","mixed","NA","Borror & White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Meloidae","Coleoptera","Insecta","mixed","NA","Borror","Horren states zoophagous predator/parasite but Borror emphasizes plant diet too","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","0.8","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Melyridae","Coleoptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","0","zoophagous-predator","Predator"
"Monotomidae","Coleoptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.5","0.5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Mycetophagidae","Coleoptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.2","0","0.8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Nitidulidae","Coleoptera","Insecta","mixed","flower","Horren",NA,"0","0.6","0","0","0.4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","20","0","0","1","1","0","0","0","0","0","0","0","1","0","multiple categories","Mulitple categories"
"Phalacridae","Coleoptera","Insecta","phytophagous","flower","Horren",NA,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","1","1","1","0","phytophagous-multiple/other","Phytophagous"
"Ptiliidae","Coleoptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.2","0.4","0","0.2","0.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","multiple categories","Mulitple categories"
"Scarabaeidae","Coleoptera","Insecta","mixed","roots","Horren",NA,"0","0.2","0.1","0","0.2","0.5","0.1","0","0","0","0","0","0","0","0.9","0","0","0","0","0","0","0","17","0","0","0","0","0","0","1","0","0","0","0","1","0","multiple categories","Mulitple categories"
"Scraptiidae","Coleoptera","Insecta","phytophagous","saproxylic","Horren",NA,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","phytophagous-saproxylic","Phytophagous"
"Silphidae","Coleoptera","Insecta","zoophagous","necro","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","detritophagous/scavenger","Scavenger"
"Silvanidae","Coleoptera","Insecta","mixed","mixed","Horren",NA,"0","0.8","0.2","0","0","0","0","0.8","0","0","0","0","0","0","0","0.2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","multiple categories","Mulitple categories"
"Staphylinidae","Coleoptera","Insecta","mixed","mixed","Horren",NA,"0.7","0.1","0.1","0.1","0","0","0","0.5","0","0","0.5","0","0","0","0","0","0.7","0","0","0.3","0","0","116","1","0","1","1","1","1","1","0","0","1","0","1","0","multiple categories","Mulitple categories"
"Tenebrionidae","Coleoptera","Insecta","mixed","mixed","Horren",NA,"0","0.6","0.2","0.2","0","0","0","0.5","0","0","0","0","0","0","0.1","0.4","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Acroceridae","Diptera","Insecta","zoophagous","parasite","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Agromyzidae","Diptera","Insecta","phytophagous","miners","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Anisopodidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0","0.2","0.8","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Asilidae","Diptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Bibionidae","Diptera","Insecta","detritophagous","mixed","Horren",NA,"0","0.1","0.9","0","0","0","0","0.2","0","0","0","0","0","0","0.1","0.7","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Calliphoridae","Diptera","Insecta","mixed","necro","Horren",NA,"0.8","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Cecidomyiidae","Diptera","Insecta","phytophagous","gall","Horren",NA,"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phytophagous-galls/miners","Phytophagous"
"Ceratopogonidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","0.9","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Chaoboridae","Diptera","Insecta","zoophagous","predator","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Chironomidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Chloropidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.7","0.1","0","0","0.1","0","0","0","0.8","0.1","0","0.1","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Culicidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Dolichopodidae","Diptera","Insecta","zoophagous","predator","Horren",NA,"0.9","0.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zoophagous-predator","Predator"
"Drosophilidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.2","0","0","0.7","0","0","0","0","1","0","0","0","0","0","0","0.8","0","0","0.2","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Ephydridae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.2","0.1","0.7","0","0","0","0","0","0","0","0","0","0","1","0","0","0.6","0","0","0.1","0.3","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Fanniidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Limoniidae","Diptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.1","0.8","0.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Muscidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.1","0.3","0.2","0.1","0.1","0.2","0","0.2","0","0","0","0","0","0.7","0","0.1","0.9","0","0","0","0.1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Mycetophilidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.1","0","0.1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Pediciidae","Diptera","Insecta","mixed","not specified","Horren",NA,"0","0.2","0.5","0.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Phoridae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.4","0","0.4","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Platypezidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0","0.2","0","0.8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Platystomatidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.2","0.4","0.4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Polleniidae","Diptera","Insecta","mixed","mixed","Horren","zoo/necro and copro; based on entry for Calliphoridae which used to include this family","0.8","NA","NA","NA","NA","0.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Psychodidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.7","0.1","0.2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8","0","0","0.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Rhiniidae","Diptera","Insecta","mixed","mixed","Horren","zoo/necro and copro; based on entry for Calliphoridae which used to include this family","0.8","NA","NA","NA","NA","0.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Sarcophagidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.8","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0","0","0.2","0.4","0","0","0.4","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Scatopsidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0","0.1","0.1","0.2","0","0.6","0","0.5","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Sciaridae","Diptera","Insecta","mixed","mixed","Horren",NA,"0","0.1","0","0.4","0.5","0","0","0","0","0","0","0","0","0.2","0.2","0.6","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Simuliidae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Sphaeroceridae","Diptera","Insecta","detritophagous","NA","Horren",NA,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","detritophagous/scavenger","Scavenger"
"Stratiomyidae","Diptera","Insecta","mixed","saproxylic","Horren",NA,"0","0.3","0.7","0","0","0","0","0.9","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Syrphidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.5","0.3","0.1","0","0.1","0","0","0.3","0","0.3","0","0","0","0","0.3","0.1","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Tabanidae","Diptera","Insecta","mixed","mixed","Horren",NA,"0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
