"db","finaltax","species","genus","family","order","class","phylum","kingdom"
"ncbi","Paradidyma",NA,"Paradidyma","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parakalummidae",NA,NA,"Parakalummidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Paralimna",NA,"Paralimna","Ephydridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parallelia bistriaris","Parallelia bistriaris","Parallelia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parapediasia teterrellus","Parapediasia teterrellus","Parapediasia","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parapoynx allionealis","Parapoynx allionealis","Parapoynx","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paratanytarsus",NA,"Paratanytarsus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paratrichocladius tamaater","Paratrichocladius tamaater","Paratrichocladius","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paraulacizes irrorata","Paraulacizes irrorata","Paraulacizes","Cicadellidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parcoblatta",NA,"Parcoblatta","Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Parcoblatta bolliana","Parcoblatta bolliana","Parcoblatta","Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Parcoblatta divisa","Parcoblatta divisa","Parcoblatta","Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Parcoblatta uhleriana","Parcoblatta uhleriana","Parcoblatta","Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Paria fragariae","Paria fragariae","Paria","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paria sellata","Paria sellata","Paria","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Patrobus longicornis","Patrobus longicornis","Patrobus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peckia",NA,"Peckia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pediasia trisecta","Pediasia trisecta","Pediasia","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pedicia albivitta","Pedicia albivitta","Pedicia","Pediciidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pediciidae",NA,NA,"Pediciidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pelegrina galathea","Pelegrina galathea","Pelegrina","Salticidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Penenirmus auritus","Penenirmus auritus","Penenirmus","Philopteridae","Phthiraptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pentatomidae",NA,NA,"Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Perapion curtirostre","Perapion curtirostre","Perapion","Apionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Perimede erransella","Perimede erransella","Perimede","Cosmopterigidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peripsocus madidus","Peripsocus madidus","Peripsocus","Peripsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peripsocus subfasciatus","Peripsocus subfasciatus","Peripsocus","Peripsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peromyscus leucopus","Peromyscus leucopus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Phanaeus",NA,"Phanaeus","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phaonia",NA,"Phaonia","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pheidole morrisii","Pheidole morrisii","Pheidole","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phenopelopidae",NA,NA,"Phenopelopidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Pherbellia",NA,"Pherbellia","Sciomyzidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phidippus audax","Phidippus audax","Phidippus","Salticidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Philopedon plagiatum","Philopedon plagiatum","Philopedon","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Philotarsidae",NA,NA,"Philotarsidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phormia regina","Phormia regina","Phormia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phycitodes reliquella","Phycitodes reliquella","Phycitodes","Pyralidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phyllobaenus",NA,"Phyllobaenus","Cleridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phymata fasciata fasciata","Phymata fasciata","Phymata","Phymatidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phytocoris",NA,"Phytocoris","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phytoseiidae",NA,NA,"Phytoseiidae","Mesostigmata","Arachnida","Arthropoda","Metazoa"
"ncbi","Pilaria tenuipes","Pilaria tenuipes","Pilaria","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pisaurina",NA,"Pisaurina","Pisauridae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Pityophthorus lautus","Pityophthorus lautus","Pityophthorus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Platygastridae",NA,NA,"Platygastridae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Platynota idaeusalis","Platynota idaeusalis","Platynota","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Plusiinae",NA,NA,"Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Polistes fuscatus","Polistes fuscatus","Polistes","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pollenia",NA,"Pollenia","Polleniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Polymerus castilleja","Polymerus castilleja","Polymerus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Polypedilum",NA,"Polypedilum","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Polyphaga",NA,NA,NA,"Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ponca venosa","Ponca venosa","Ponca","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Popillia japonica","Popillia japonica","Popillia","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Potamia littoralis","Potamia littoralis","Potamia","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Prochoerodes lineola","Prochoerodes lineola","Prochoerodes","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Procladius",NA,"Procladius","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Procladius denticulatus","Procladius denticulatus","Procladius","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Procloeon bifidum","Procloeon bifidum","Procloeon","Baetidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Procyon lotor","Procyon lotor","Procyon","Procyonidae","Carnivora","Mammalia","Chordata","Metazoa"
"ncbi","Protoboarmia porcelaria","Protoboarmia porcelaria","Protoboarmia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Protorthodes oviduca","Protorthodes oviduca","Protorthodes","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Protostomia",NA,NA,NA,NA,NA,NA,"Metazoa"
"ncbi","Pseudocaeciliidae",NA,NA,"Pseudocaeciliidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pseudolimnophila",NA,"Pseudolimnophila","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pseudolimnophila brunneinota","Pseudolimnophila brunneinota","Pseudolimnophila","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pseudolimnophila luteipennis","Pseudolimnophila luteipennis","Pseudolimnophila","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pseudotelphusa quercinigracella","Pseudotelphusa quercinigracella","Pseudotelphusa","Gelechiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocetae",NA,NA,NA,"Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocidae",NA,NA,"Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocomorpha",NA,NA,NA,"Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocoptera",NA,NA,NA,"Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocus leidyi","Psocus leidyi","Psocus","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychoda",NA,"Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychoda alternata","Psychoda alternata","Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychoda minuta","Psychoda minuta","Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychoda phalaenoides","Psychoda phalaenoides","Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psyllobora vigintimaculata","Psyllobora vigintimaculata","Psyllobora","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pteromyini",NA,NA,"Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Pterostichus",NA,"Pterostichus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pterygota",NA,NA,NA,NA,"Insecta","Arthropoda","Metazoa"
"ncbi","Ptilodexia conjuncta","Ptilodexia conjuncta","Ptilodexia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ptinidae",NA,NA,"Ptinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Puliciphora",NA,"Puliciphora","Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Purpuricenus humeralis","Purpuricenus humeralis","Purpuricenus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pyralinae",NA,NA,"Pyralidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pyraustinae",NA,NA,"Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pyrrharctia isabella","Pyrrharctia isabella","Pyrrharctia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rattus norvegicus","Rattus norvegicus","Rattus","Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Ravinia",NA,"Ravinia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ravinia stimulans","Ravinia stimulans","Ravinia","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Reticulitermes",NA,"Reticulitermes","Rhinotermitidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Rheocricotopus robacki","Rheocricotopus robacki","Rheocricotopus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rheocricotopus villiculus","Rheocricotopus villiculus","Rheocricotopus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhingia",NA,"Rhingia","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhinotergum shaoguanense","Rhinotergum shaoguanense","Rhinotergum","Diptilomiopidae","Trombidiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Rhipidia domestica","Rhipidia domestica","Rhipidia","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhithrogena",NA,"Rhithrogena","Heptageniidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ripeacma umbellata","Ripeacma umbellata","Ripeacma","Oecophoridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rodentia",NA,NA,NA,"Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Ruidocollaris convexipennis","Ruidocollaris convexipennis","Ruidocollaris","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rusticoclytus",NA,"Rusticoclytus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rutelinae",NA,NA,"Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Saldinae",NA,NA,"Saldidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarcophaga",NA,"Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarcophaga australis","Sarcophaga australis","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarcophaginae",NA,NA,"Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sarginae",NA,NA,"Stratiomyidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sargus",NA,"Sargus","Stratiomyidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Saturniinae",NA,NA,"Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Saturniini",NA,NA,"Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scapheremaeus",NA,"Scapheremaeus","Cymbaeremaeidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Scaphinotus",NA,"Scaphinotus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scaptomyza pallida","Scaptomyza pallida","Scaptomyza","Drosophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scarabaeidae",NA,NA,"Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scatopsidae",NA,NA,"Scatopsidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Schizaphis graminum","Schizaphis graminum","Schizaphis","Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Schizophora",NA,NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Schoettella",NA,"Schoettella","Hypogastruridae","Poduromorpha","Collembola","Arthropoda","Metazoa"
"ncbi","Sciara humeralis","Sciara humeralis","Sciara","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sciara kitakamiensis","Sciara kitakamiensis","Sciara","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sciaridae",NA,NA,"Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sciophila thoracica","Sciophila thoracica","Sciophila","Mycetophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sciuridae",NA,NA,"Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Sciurus carolinensis","Sciurus carolinensis","Sciurus","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Scolothrips takahashii","Scolothrips takahashii","Scolothrips","Thripidae","Thysanoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scolytinae",NA,NA,"Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scraptiidae",NA,NA,"Scraptiidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scudderia furcata furcata","Scudderia furcata","Scudderia","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scymnus",NA,"Scymnus","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Selatosomus cruciatus","Selatosomus cruciatus","Selatosomus","Elateridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sericoderus",NA,"Sericoderus","Corylophidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sericoderus lateralis","Sericoderus lateralis","Sericoderus","Corylophidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Serratella",NA,"Serratella","Ephemerellidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Simulium",NA,"Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Simulium reptans","Simulium reptans","Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Simulium verecundum","Simulium verecundum","Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sinea diadema","Sinea diadema","Sinea","Reduviidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sinoe chambersi","Sinoe chambersi","Sinoe","Gelechiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sitona",NA,"Sitona","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sitotroga cerealella","Sitotroga cerealella","Sitotroga","Gelechiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Smittia",NA,"Smittia","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Smittia aterrima","Smittia aterrima","Smittia","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spanagonicus albofasciatus","Spanagonicus albofasciatus","Spanagonicus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sphaerocera curvipes","Sphaerocera curvipes","Sphaerocera","Sphaeroceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sphingidae",NA,NA,"Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sphinx eremitus","Sphinx eremitus","Sphinx","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spilosoma congrua","Spilosoma congrua","Spilosoma","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spilosoma virginica","Spilosoma virginica","Spilosoma","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spilosomini",NA,NA,"Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spodoptera",NA,"Spodoptera","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spodoptera frugiperda","Spodoptera frugiperda","Spodoptera","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spodoptera ornithogalli","Spodoptera ornithogalli","Spodoptera","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stagmomantis carolina","Stagmomantis carolina","Stagmomantis","Mantidae","Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Staphylinidae",NA,NA,"Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Staphylinini",NA,NA,"Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stenomacrus",NA,"Stenomacrus","Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stictocephala bisonia","Stictocephala bisonia","Stictocephala","Membracidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stigmella roborella","Stigmella roborella","Stigmella","Nepticulidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stigmella saginella","Stigmella saginella","Stigmella","Nepticulidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stilbus",NA,"Stilbus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stilbus testaceus","Stilbus testaceus","Stilbus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stomatosema obscurum","Stomatosema obscurum","Stomatosema","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Stomoxys",NA,"Stomoxys","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Strangalia bicolor","Strangalia bicolor","Strangalia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Strigamia",NA,"Strigamia","Linotaeniidae","Geophilomorpha","Chilopoda","Arthropoda","Metazoa"
"ncbi","Sus scrofa","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Sylvicola fenestralis","Sylvicola fenestralis","Sylvicola","Anisopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sylvilagus floridanus","Sylvilagus floridanus","Sylvilagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa"
"ncbi","Sympetrum",NA,"Sympetrum","Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Synorthocladius semivirens","Synorthocladius semivirens","Synorthocladius","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Syrphidae",NA,NA,"Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Syrphinae",NA,NA,"Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Syrphini",NA,NA,"Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Syrphus",NA,"Syrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Systena marginalis","Systena marginalis","Systena","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabaninae",NA,NA,"Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanini",NA,NA,"Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanus",NA,"Tabanus","Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanus sparus milleri","Tabanus sparus","Tabanus","Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tachygonus lecontei","Tachygonus lecontei","Tachygonus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tachyporus jocosus","Tachyporus jocosus","Tachyporus","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tamias striatus","Tamias striatus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Tanypodinae",NA,NA,"Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tanypus punctipennis","Tanypus punctipennis","Tanypus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tanytarsus",NA,"Tanytarsus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tanytarsus guerlus","Tanytarsus guerlus","Tanytarsus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tarsonemidae",NA,NA,"Tarsonemidae","Trombidiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Taylorilygus apicalis","Taylorilygus apicalis","Taylorilygus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tectocepheus",NA,"Tectocepheus","Tectocepheidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Telephanus atricapillus","Telephanus atricapillus","Telephanus","Silvanidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Teliapsocus conterminus","Teliapsocus conterminus","Teliapsocus","Amphipsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tenebrionidae",NA,NA,"Tenebrionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tenodera",NA,"Tenodera","Mantidae","Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Tenthredinidae",NA,NA,"Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tenthredinoidea",NA,NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tetanolita mynesalis","Tetanolita mynesalis","Tetanolita","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tetramorium tsushimae","Tetramorium tsushimae","Tetramorium","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tetraneura nigriabdominalis","Tetraneura nigriabdominalis","Tetraneura","Pemphigidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tettigoniidae",NA,NA,"Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tettigoniidea",NA,NA,NA,"Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tettigoniinae",NA,NA,"Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thaumatomyia",NA,"Thaumatomyia","Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thaumatomyia glabra","Thaumatomyia glabra","Thaumatomyia","Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thecturota",NA,"Thecturota","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thelaira",NA,"Thelaira","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thienemanniella lobapodema","Thienemanniella lobapodema","Thienemanniella","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipula",NA,"Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipula flavolineata","Tipula flavolineata","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipula triplex","Tipula triplex","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipulidae",NA,NA,"Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipulinae",NA,NA,"Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Toramus pulchellus","Toramus pulchellus","Toramus","Erotylidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tortricidae",NA,NA,"Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Toxomerus geminatus","Toxomerus geminatus","Toxomerus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Triarthria setipennis","Triarthria setipennis","Triarthria","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichadenotecnum",NA,"Trichadenotecnum","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichocera brevicornis","Trichocera brevicornis","Trichocera","Trichoceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichordestra legitima","Trichordestra legitima","Trichordestra","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichotichnus fulgens","Trichotichnus fulgens","Trichotichnus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tricorynus dichrous","Tricorynus dichrous","Tricorynus","Ptinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tropisternus lateralis","Tropisternus lateralis","Tropisternus","Hydrophilidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trypetinae",NA,NA,"Tephritidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Typhaea stercorea","Typhaea stercorea","Typhaea","Mycetophagidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Udea",NA,"Udea","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Valenzuela",NA,"Valenzuela","Caeciliusidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Valenzuela flavidus","Valenzuela flavidus","Valenzuela","Caeciliusidae","Psocoptera","Insecta","Arthropoda","Metazoa"
