"family","order","class","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","source","notes","life.cat"
"Cicadidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Coreidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Fulgoridae","Hemiptera","Insecta",1,0,1,0,"IB, Insect Biodiversity : Science and Society, Volume 2","DLP","Fully terrestrial"
"Lygaeidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Miridae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Pemphigidae","Hemiptera","Insecta",1,0,1,0,"Encyclopdeia of Animal Behavior","https://www.sciencedirect.com/referencework/9780128132524/encyclopedia-of-animal-behavior","Fully terrestrial"
"Pentatomidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Phymatidae","Hemiptera","Insecta",1,0,1,0,"Review Article","https://reader.elsevier.com/reader/sd/pii/S1049964411000417?token=BDAB0A51E200C364249182315B4325E0689266220DF7B29BB46F37BCF50A4C88CDA13A7DB493A1F066BEE5E989A8AE1D&originRegion=eu-west-1&originCreation=20220712130618","Fully terrestrial"
"Reduviidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Saldidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Aphelinidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Braconidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Chrysididae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Diprionidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Formicidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ichneumonidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Mymaridae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Pergidae","Hymenoptera","Insecta",1,0,1,0,"IB","Lists sawfliess are herbivores, this is a sawfly family","Fully terrestrial"
"Platygastridae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Scelionidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tenthredinidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Vespidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Blastobasidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Bombycidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Bucculatricidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cosmopterigidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Crambidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Elachistidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Erebidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Plutellidae","Lepidoptera","Insecta",1,0,1,0,"Article","DOI 10.3897/nl.45.78574  Article on the group and feeding on plants, it is mentioned the group is not native to the US since it is Palearctic.","Fully terrestrial"
"Gelechiidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Geometridae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Gracillariidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Hesperiidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Limacodidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Lycaenidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Meessiidae","Lepidoptera","Insecta",1,0,1,0,"IB",NA,"Fully terrestrial"
"Nepticulidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Noctuidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Notodontidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Nymphalidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Oecophoridae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Papilionidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Pyralidae","Lepidoptera","Insecta",0.95,0.05,1,0,"ITT, some larvae can be aquatic; assuming 5% for data sorting purposes","https://www.researchgate.net/profile/Raymond-Bouchard-Jr/publication/285686442_Guide_to_aquatic_macroinvertebrates_of_the_upper_midwest_waters/links/61cc8a8ee669ee0f5c718091/Guide-to-aquatic-macroinvertebrates-of-the-upper-midwest-waters.pdf?origin=publication_detail","Some larvae aquatic"
"Saturniidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Sphingidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Stathmopodidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tineidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Tortricidae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Eremiaphilidae","Mantodea","Insecta",1,0,1,0,"IB","They llive in deserts, but they are from Africa so I doubt this family was correctly identified. Although it is possible because there is a record in Long island so maybe it was found, if so it is a new record!","Fully terrestrial"
"Mantidae","Mantodea","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Chrysopidae","Neuroptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Coniopterygidae","Neuroptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Hemerobiidae","Neuroptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Mantispidae","Neuroptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Nymphidae","Neuroptera","Insecta",1,0,1,0,"IB","DLP","Fully terrestrial"
"Coenagrionidae","Odonata","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Libellulidae","Odonata","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Acrididae","Orthoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Gryllidae","Orthoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Rhaphidophoridae","Orthoptera","Insecta",1,0,1,0,"IB","DLP","Fully terrestrial"
"Tettigoniidae","Orthoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Diapheromeridae","Phasmatodea","Insecta",1,0,1,0,"IB","DLP, the whole order are on land","Fully terrestrial"
"Amphipsocidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Caeciliusidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ectopsocidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Lachesillidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Lepidopsocidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Myopsocidae","Psocoptera","Insecta",1,0,1,0,"IB","DLP","Fully terrestrial"
"Peripsocidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Philotarsidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Pseudocaeciliidae","Psocoptera","Insecta",1,0,1,0,"IB","DLP","Fully terrestrial"
"Psocidae","Psocoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ceratophyllidae","Siphonaptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Thripidae","Thysanoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Hydroptilidae","Trichoptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Leptoceridae","Trichoptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Limnephilidae","Trichoptera","Insecta",0,1,1,0,"ITT",NA,"All larvae aquatic"
"Blattellidae","Blattodea","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Rhinophoridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Ptinidae","Coleoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Cyclopidae","Cyclopoida","Insecta",0,1,0,1,"Article","Lansac-Tôha, F. A., Velho, L. F. M., Higuti, J., & Takahashi, E. M. (2002). Cyclopidae (Crustacea, Copepoda) from the upper Paraná river floodplain, Brazil. Brazilian Journal of Biology, 62, 125-133.","Fully aquatic"
"Philopteridae","Phthiraptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Gryllacrididae","Orthoptera","Insecta",1,0,1,0,"Borror & Delong",NA,"Fully terrestrial"
"Sclerosomatidae","Opiliones","Arachnida",1,0,1,0,"Borror & Delong",NA,"Fully terrestrial"
"Nabidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Geocoridae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Oestridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Corydalidae","Megaloptera","Insecta",0,1,1,0,"Borror & Delong",NA,"All larvae aquatic"
"Forficulidae","Dermaptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Hypogastruridae","Poduromorpha","Collembola",1,0,1,0,"Borror & Delong",NA,"Fully terrestrial"
"Cydnidae","Hemiptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Argidae","Hymenoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Coelopidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Bdellidae","Trombidiformes","Arachnida",1,0,1,0,"Article","https://doi.org/10.11646/zootaxa.4152.1.1","Fully terrestrial"
"Phenopelopidae","Sarcoptiformes","Arachnida",1,0,1,0,"Article","https://biodiversity.org.au/afd/taxa/PHENOPELOPIDAE;PHENOPELOPOIDEA","Fully terrestrial"
"Coleophoridae","Lepidoptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Anthomyiidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Isotomidae","Entomobryomorpha","Collembola",1,0,1,0,"Borror & Delong",NA,"Fully terrestrial"
"Lonchopteridae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Sciomyzidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
"Phytoseiidae"," Mesostigmata","Arachnida",1,0,1,0,"bugguide.net",NA,"Fully terrestrial"
"Depressariidae","Lepidoptera","Insecta",1,0,1,0,"ITT","based on entry for Elachistidae, which it used to be classified as","Fully terrestrial"
"Lauxaniidae","Diptera","Insecta",1,0,1,0,"ITT",NA,"Fully terrestrial"
